,video_id,artist,song
29243,r03V9OEJlgg,A Perfect Circle,"So Long, And Thanks For All The Fish [Audio]"
29320,UCdMwyIy3ks,"Logic, Marshmello",Everyday
29475,M4ZoCHID9GI,The Weeknd,Call Out My Name
29520,UCdMwyIy3ks,"Logic, Marshmello",Everyday
29715,Xv2nPTJdXnQ,"Trippie Redd, FOREVERANTiPoP",Deadman's Wonderland
29721,UCdMwyIy3ks,"Logic, Marshmello",Everyday
29919,vUTI4bPdlgE,J. Cole,ATM
29932,zEf423kYfqk,"Becky G, Natti Natasha",Sin Pijama
29936,UCdMwyIy3ks,"Logic, Marshmello",Everyday
29957,tlILlcCE8Sc,"The Chainsmokers, Drew Love",Somebody
29983,rsWmrGuuWuE,Sean Paul & Major Lazer,Tip Pon It
30038,jkiUKB6RwLw,Five Finger Death Punch,Sham Pain (AUDIO)
30095,eo53TL8P2Cc,Tory Lanez,Benevolent
30119,vUTI4bPdlgE,J. Cole,ATM
30130,zEf423kYfqk,"Becky G, Natti Natasha",Sin Pijama
30157,tlILlcCE8Sc,"The Chainsmokers, Drew Love",Somebody
30174,UCdMwyIy3ks,"Logic, Marshmello",Everyday
30200,f5I79eakR8E,Machine Gun Kelly,27
30234,rsWmrGuuWuE,Sean Paul & Major Lazer,Tip Pon It
30320,vUTI4bPdlgE,J. Cole,ATM
30350,zEf423kYfqk,"Becky G, Natti Natasha",Sin Pijama
30386,tlILlcCE8Sc,"The Chainsmokers, Drew Love",Somebody
30405,f5I79eakR8E,Machine Gun Kelly,27
30514,rsWmrGuuWuE,Sean Paul & Major Lazer,Tip Pon It
30527,vUTI4bPdlgE,J. Cole,ATM
30571,y06RDyNXqbM,Rich The Kid,Dead Friends
30616,zEf423kYfqk,"Becky G, Natti Natasha",Sin Pijama
30677,f5I79eakR8E,Machine Gun Kelly,27
30686,tlILlcCE8Sc,"The Chainsmokers, Drew Love",Somebody
30749,vUTI4bPdlgE,J. Cole,ATM
30778,y06RDyNXqbM,Rich The Kid,Dead Friends
30795,36tggrpRoTI,Shawn Mendes,In My Blood
30968,36tggrpRoTI,Shawn Mendes,In My Blood
31010,y06RDyNXqbM,Rich The Kid,Dead Friends
31053,vUTI4bPdlgE,J. Cole,ATM
31078,evfM1QDfleM,Kali Uchis,Get Up
31223,36tggrpRoTI,Shawn Mendes,In My Blood
31311,Jqs5EaAaueA,5 Seconds Of Summer,Youngblood (Live)
31343,LryQJ25CnKU,Jennifer Lopez,El Anillo
31357,CGJAkyTgwi8,Stromae,Défiler (bande originale de la capsule n°5 Mosaert)
31546,LryQJ25CnKU,Jennifer Lopez,El Anillo
31575,CGJAkyTgwi8,Stromae,Défiler (bande originale de la capsule n°5 Mosaert)
31778,LryQJ25CnKU,Jennifer Lopez,El Anillo
31844,CGJAkyTgwi8,Stromae,Défiler (bande originale de la capsule n°5 Mosaert)
32044,uJ9M_7zSa3s,"J. Balvin, Michael Brun",Positivo
32085,LryQJ25CnKU,Jennifer Lopez,El Anillo
32139,ucVJrja8r6Q,Davido,Assurance
32360,ucVJrja8r6Q,Davido,Assurance
32368,DkeiKbqa02g,"Calvin Harris, Dua Lipa",One Kiss
32514,CX11yw6YL1w,Céline Dion,Ashes (from the Deadpool 2 Motion Picture Soundtrack)
32545,DkeiKbqa02g,"Calvin Harris, Dua Lipa",One Kiss
32566,5GHXEGz3PJg,Florence + The Machine,Hunger
32584,rxmtHVSVjdo,Troye Sivan,Bloom (Lyric Video)
32610,ucVJrja8r6Q,Davido,Assurance
32707,7wDUrQAaYsM,"Enrique Iglesias, Pitbull",Move To Miami (Lyric Video)
32714,CX11yw6YL1w,Céline Dion,Ashes (from the Deadpool 2 Motion Picture Soundtrack)
32715,Wpm07-BGJnE,Nicki Minaj,Chun-Li
32743,DkeiKbqa02g,"Calvin Harris, Dua Lipa",One Kiss
32756,rItv9i6c7AY,Luke Combs,Beautiful Crazy
32759,5GHXEGz3PJg,Florence + The Machine,Hunger
32840,rxmtHVSVjdo,Troye Sivan,Bloom (Lyric Video)
32849,vjI4Alon-3Q,Maluma,Marinero
32905,8rReM1R-SFw,Five Finger Death Punch,When the Seasons Change (Lyric Video)
32911,ucVJrja8r6Q,Davido,Assurance
32914,CX11yw6YL1w,Céline Dion,Ashes (from the Deadpool 2 Motion Picture Soundtrack)
32915,Wpm07-BGJnE,Nicki Minaj,Chun-Li
32916,VYOjWnS4cMY,Childish Gambino,This Is America
32959,DkeiKbqa02g,"Calvin Harris, Dua Lipa",One Kiss
32962,rItv9i6c7AY,Luke Combs,Beautiful Crazy
32982,5GHXEGz3PJg,Florence + The Machine,Hunger
32990,5w_XWFajGvI,Alkaline,Perfect (Official Audio)
33079,vjI4Alon-3Q,Maluma,Marinero
33088,e04pTwZdLhg,Maddie & Tae,Friends Don't (Lyric Video)
33114,VYOjWnS4cMY,Childish Gambino,This Is America
33116,CX11yw6YL1w,Céline Dion,Ashes (from the Deadpool 2 Motion Picture Soundtrack)
33118,Wpm07-BGJnE,Nicki Minaj,Chun-Li
33209,rItv9i6c7AY,Luke Combs,Beautiful Crazy
33222,DkeiKbqa02g,"Calvin Harris, Dua Lipa",One Kiss
33244,vjI4Alon-3Q,Maluma,Marinero
33271,5GHXEGz3PJg,Florence + The Machine,Hunger
33314,VYOjWnS4cMY,Childish Gambino,This Is America
33320,CX11yw6YL1w,Céline Dion,Ashes (from the Deadpool 2 Motion Picture Soundtrack)
33333,Wpm07-BGJnE,Nicki Minaj,Chun-Li
33375,KUUjtUP2CrE,Carrie Underwood,Cry Pretty (Official Music Video)
33393,FRjOSmc01-M,"Kygo, Miguel",Remind Me to Forget
33401,qxt2JE06PYw,Vybz Kartel,Do It
